file_path,filename,overall_score,structure_score,metadata_score,performance_score,security_score,error_count,warning_count
prompts/analysis\README.md,README.md,45.0,50.0,0.0,65.0,80.0,2,6
prompts/advanced\README.md,README.md,46.0,50.0,0.0,65.0,80.0,2,6
prompts/business\README.md,README.md,46.0,50.0,0.0,65.0,80.0,2,6
prompts/creative\README.md,README.md,46.0,50.0,0.0,65.0,80.0,2,6
prompts/developers\README.md,README.md,46.0,50.0,0.0,65.0,80.0,2,6
prompts/system\example-research-output.md,example-research-output.md,46.5,50.0,0.0,65.0,80.0,2,6
prompts/governance\README.md,README.md,49.25,55.0,0.0,65.0,80.0,2,4
prompts/system\README.md,README.md,49.75,55.0,0.0,65.0,80.0,2,4
prompts/m365\README.md,README.md,50.5,60.0,0.0,65.0,80.0,2,3
prompts/developers\code-review-expert-structured.md,code-review-expert-structured.md,58.0,90.0,74.0,50.0,0,1,15
prompts/developers\code-review-expert.md,code-review-expert.md,58.0,90.0,74.0,50.0,0,1,30
prompts/developers\test-automation-engineer.md,test-automation-engineer.md,64.0,90.0,74.0,50.0,30.0,1,10
prompts/governance\security-incident-response.md,security-incident-response.md,64.0,90.0,74.0,50.0,30.0,1,10
prompts/m365\m365-handover-document-creator.md,m365-handover-document-creator.md,66.5,80.0,64.0,65.0,60.0,2,7
prompts/m365\m365-customer-feedback-analyzer.md,m365-customer-feedback-analyzer.md,70.5,80.0,64.0,65.0,80.0,2,5
prompts/m365\m365-manager-sync-planner.md,m365-manager-sync-planner.md,70.5,80.0,64.0,65.0,80.0,2,5
prompts/m365\m365-sway-document-to-story.md,m365-sway-document-to-story.md,70.5,80.0,64.0,65.0,80.0,2,5
prompts/m365\m365-sway-visual-newsletter.md,m365-sway-visual-newsletter.md,70.5,80.0,64.0,65.0,80.0,2,5
prompts/m365\m365-designer-image-prompt-generator.md,m365-designer-image-prompt-generator.md,71.5,80.0,64.0,65.0,80.0,2,5
prompts/m365\m365-designer-infographic-brief.md,m365-designer-infographic-brief.md,71.5,80.0,64.0,65.0,80.0,2,5
prompts/m365\m365-designer-social-media-kit.md,m365-designer-social-media-kit.md,71.5,80.0,64.0,65.0,80.0,2,5
prompts/m365\m365-slide-content-refiner.md,m365-slide-content-refiner.md,71.5,80.0,64.0,65.0,80.0,2,5
